Recipient Name,Recipient ID,Grants,Total,Average,Largest,Smallest
Elms Farm Residents Association,360G-BirminghamCC-elms_farm_residents_association,2,3300,1650,1650,1650
Elim Church Kingstanding,360G-BirminghamCC-elim_church_kingstanding,2,4725,2362,3725,1000
East Yardley Neighbourhood Forum,360G-BirminghamCC-east_yardley_neighbourhood_forum,2,1250,625,1000,250
East Birmingham Pensioners,360G-BirminghamCC-east_birmingham_pensioners,1,1000,1000,1000,1000
EDAS Foundation,GB-COH-04214799,3,1500,500,500,500
Duke Street Church (Sutton Coldfield),GB-CHC-1096824,2,600,300,300,300
Dojo Community Project,GB-COH-05190074,1,300,300,300,300
Dery Foundation,GB-COH-08800001,1,9446,9446,9446,9446
DeafPLUS,GB-COH-03680467,6,70975,11829,25070,4533
Day Centre For Polish Snr Citizens,360G-BirminghamCC-day_centre_for_polish_snr_citizens,2,4773,2386,3182,1591
Daero Community Forum Ltd,GB-COH-08801965,1,500,500,500,500
DKH Legacy Trust,GB-COH-06531532,1,19358,19358,19358,19358
Creative Cohesion West Midlands,360G-BirminghamCC-creative_cohesion_west_midlands,1,6000,6000,6000,6000
Craftspace,GB-COH-02492368,2,36866,18433,27866,9000
Compass Support Services Ltd,GB-COH-03506460,6,101569,16928,39808,1000
Community Foundation,GB-COH-07199617,1,100,100,100,100
Community Environmental Trust,GB-COH-03907328,1,3500,3500,3500,3500
Community Education Academy of Leadership,GB-CHC-1144675,1,50000,50000,50000,50000
Cole Valley Community Services CIC,GB-COH-07750148,2,12850,6425,8850,4000
City Of Colours CIC,GB-COH-08897950,1,5000,5000,5000,5000
City Centre N/Hood Forum,360G-BirminghamCC-city_centre_nhood_forum,2,1400,700,900,500
Chrysalis Dance Academy,360G-BirminghamCC-chrysalis_dance_academy,1,1000,1000,1000,1000
Chinese Community Centre - Bham,GB-COH-03093200,3,25582,8527,12791,6395
Cherry Orchard Neighbourhood Forum,360G-BirminghamCC-cherry_orchard_neighbourhood_forum,1,2000,2000,2000,2000
Cherry Club,360G-BirminghamCC-cherry_club,3,750,250,250,250
Cerebral Palsy Midlands,GB-CHC-529464,6,58437,9739,15937,5312
Central Edgbaston Bowling Club,360G-BirminghamCC-central_edgbaston_bowling_club,1,1500,1500,1500,1500
Cedar Church,360G-BirminghamCC-cedar_church,2,1000,500,500,500
Castle Vale Tenants and Residents' Alliance,GB-COH-04382420,5,71000,14200,48000,2500
Castle Vale Pool User Group,360G-BirminghamCC-castle_vale_pool_user_group,1,10000,10000,10000,10000
Castle Pool Community Partnership,GB-CHC-1159347,1,6500,6500,6500,6500
Carers UK Birmingham,GB-COH-00864097,3,1700,566,750,450
Capsule,GB-COH-04438817,3,28000,9333,15000,2000
Cancer Support Cent Sutton Colfield,GB-COH-04202897,3,5500,1833,2500,1500
CBSO,GB-COH-01262018 ,4,1578788,394697,900000,4000
C Brom Methodist Church Lunch Club,360G-BirminghamCC-c_brom_methodist_church_lunch_club,3,838,279,500,169
Bumble Bees Day Nursery,360G-BirminghamCC-bumble_bees_day_nursery,1,650,650,650,650
British Waterways,GB-COH-07807276,4,5229000,1307250,3000000,20000
Bright Future Association,360G-BirminghamCC-bright_future_association,1,1000,1000,1000,1000
Brandwood Forum,360G-BirminghamCC-brandwood_forum,1,1500,1500,1500,1500
Bordesley Village Community Assoc,360G-BirminghamCC-bordesley_village_community_assoc,1,500,500,500,500
Bordesley Green Forum,360G-BirminghamCC-bordesley_green_forum,1,3000,3000,3000,3000
Booths Farm Neighbourhood Watch,360G-BirminghamCC-booths_farm_neighbourhood_watch,1,300,300,300,300
Boldmere Traders Association,360G-BirminghamCC-boldmere_traders_association,1,375,375,375,375
